cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	original_label	cell_set_designation	cell_set_alias	cell_set_structure	cell_set_ontology_tag	cell_set_alias_assignee	taxonomy_id
CS202106160_41	41_Vip	41_Vip	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						41_Vip	CTX-HPF 041	41_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_105	105_Sst HPF	105_Sst HPF	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						105_Sst HPF	CTX-HPF 105	105_Sst HPF	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_186	186_L4/5 IT CTX	186_L4/5 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						186_L4/5 IT CTX	CTX-HPF 186	186_L4/5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_103	103_Sst HPF	103_Sst HPF	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						103_Sst HPF	CTX-HPF 103	103_Sst HPF	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_21	21_Sncg	21_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						21_Sncg	CTX-HPF 021	21_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_344	344_CA1	344_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						344_CA1	CTX-HPF 344	344_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_99	99_Sst	99_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						99_Sst	CTX-HPF 099	99_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_212	212_L5/6 IT TPE-ENT	212_L5/6 IT TPE-ENT	subclass_label:753888bc28	L5/6 IT TPE-ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						212_L5/6 IT TPE-ENT	CTX-HPF 212	212_L5/6 IT TPE-ENT	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_263	263_L5 PPP	263_L5 PPP	subclass_label:bbf0716163	L5 PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						263_L5 PPP	CTX-HPF 263	263_L5 PPP	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_91	91_Sst	91_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						91_Sst	CTX-HPF 091	91_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_12	12_Lamp5	12_Lamp5	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						12_Lamp5	CTX-HPF 012	12_Lamp5	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_146	146_L2 IT ENTm	146_L2 IT ENTm	CS202106160_486	L2 IT ENTm	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						146_L2 IT ENTm	CTX-HPF 146	146_L2 IT ENTm	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_152	152_L2/3 IT ENTl	152_L2/3 IT ENTl	subclass_label:9c706e279e	L2/3 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						152_L2/3 IT ENTl	CTX-HPF 152	152_L2/3 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_72	72_Sst	72_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						72_Sst	CTX-HPF 072	72_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_49	49_Vip	49_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						49_Vip	CTX-HPF 049	49_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_243	243_L5 PT CTX	243_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						243_L5 PT CTX	CTX-HPF 243	243_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_31	31_Sncg	31_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						31_Sncg	CTX-HPF 031	31_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_46	46_Vip	46_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						46_Vip	CTX-HPF 046	46_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_141	141_L2/3 IT PAR	141_L2/3 IT PAR	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						141_L2/3 IT PAR	CTX-HPF 141	141_L2/3 IT PAR	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_336	336_CA1-ve	336_CA1-ve	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						336_CA1-ve	CTX-HPF 336	336_CA1-ve	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_13	13_Lamp5	13_Lamp5	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						13_Lamp5	CTX-HPF 013	13_Lamp5	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_135	135_L3 IT ENTm	135_L3 IT ENTm	CS202106160_480	L3 IT ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						135_L3 IT ENTm	CTX-HPF 135	135_L3 IT ENTm	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_145	145_L2/3 IT PAR	145_L2/3 IT PAR	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						145_L2/3 IT PAR	CTX-HPF 145	145_L2/3 IT PAR	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_218	218_L6 IT CTX	218_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						218_L6 IT CTX	CTX-HPF 218	218_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
